timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659511463210,3554,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3554,0,0
1659511451587,15528,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-49,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15473,0,106
1659511463878,3463,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3463,0,0
1659511452586,14802,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14767,0,109
1659511451877,15655,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15624,0,113
1659511452708,14863,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-43,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14810,0,108
1659511453056,14626,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14571,0,105
1659511464615,3350,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3349,0,0
1659511462865,5155,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5155,0,0
1659511452747,15368,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15368,0,107
1659511453202,14920,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14853,0,107
1659511462986,5158,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5158,0,0
1659511465030,3373,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3373,0,0
1659511453390,15013,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14969,0,109
1659511452543,15874,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-42,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15874,0,110
1659511463159,5390,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5390,0,0
1659511453243,15445,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15360,0,109
